class,term,week,subject,topic,agegroup
Year 5,Calvary Term,2,Numeracy,Indices (power): writing numbers in index from multiplying numbers using the index form (e.g 20× 63= ( 2²× 5) × (3² ×7),9-10
Year 5,Calvary Term,3,Numeracy,"Ratio and percentage: expressing a number as a % of another number, profit and loss percent ( finding profit & loss percentage in a given problem)",9-10
Year 5,Calvary Term,4,Numeracy,"Open sentences: interpreting & solving word problems (e.g 60 oranges are divided equally in 3 baskets, how many are in one basket)",9-10
Year 5,Calvary Term,5,Numeracy,"Money, population, economics and conversion of currencies: tax rates, rents, buying and selling of shares and dividends - Use of calculator in converting of currencies",9-10
Year 5,Calvary Term,6,Numeracy,"Time: timing in minutes and seconds, reading timetables of journeys",9-10
Year 5,Calvary Term,7,Numeracy,"Perimeter: meaning, perimeter of a rectangle, of regular and irregular shapes",9-10
Year 5,Calvary Term,8,Numeracy,Area: area of trapezium and other figures,9-10
Year 5,Calvary Term,9,Numeracy,"Length: measuring lengths, angles and the use of Pythagoras rule",9-10
Year 1,Calvary Term,1,Vocational Studies,"Classroom: meaning, things that can be found in classroom, classroom rules and manners",5-6
Year 1,Calvary Term,2,Vocational Studies,"Profession: meaning, different professions",5-6
Year 1,Calvary Term,3,Vocational Studies,"Occupation: meaning, different occupation",5-6
Year 1,Calvary Term,4,Vocational Studies,"Tools: meaning, types, importance of tools",5-6
Year 1,Calvary Term,5,Vocational Studies,"The light : meaning, sources of light",5-6
Year 1,Calvary Term,6,Vocational Studies,"Transport: meaning, different modes of transport",5-6
Year 1,Calvary Term,7,Vocational Studies,"Blacksmith: meaning, tools used in blacksmith",5-6
Year 1,Calvary Term,8,Vocational Studies,"Vocations in homes management e.g gardener, cleaners, cook/chef, laundry men e.t.c",5-6
Year 1,Calvary Term,9,Vocational Studies,"Animal farmers, rearers and sellers: meaning, roles and importance",5-6
Year 2,Calvary Term,1,Vocational Studies,"Vegetables: meaning, types and benefits",6-7
Year 2,Calvary Term,2,Vocational Studies,"Fruits: meaning, types and benefits",6-7
Year 2,Calvary Term,3,Vocational Studies,Differences between vegetables and fruits,6-7
Year 2,Calvary Term,4,Vocational Studies,"Containers: meaning, different types of containers",6-7
Year 2,Calvary Term,5,Vocational Studies,Sporting equipment -- football,6-7
Year 2,Calvary Term,6,Vocational Studies,Sporting equipment -- racket,6-7
Year 2,Calvary Term,7,Vocational Studies,The body -- parts of the body,6-7
Year 2,Calvary Term,8,Vocational Studies,Athletics -- vocations and tools in athletics,6-7
Year 2,Calvary Term,9,Vocational Studies,"Shoe cobbler and shoe maker: meaning, tools and differences",6-7
Year 3,Calvary Term,1,Vocational Studies,"Building: meaning, types ( bungalow, storey e.t.c) and importance",7-8
Year 3,Calvary Term,2,Vocational Studies,"Specialized building: stadium, hospital, market, bank e.t.c ( building for a particular purpose)",7-8
Year 3,Calvary Term,3,Vocational Studies,"Simple abbreviation: AU, FRSC, NYSC, UN, EFCC, ICPC, AIDS e.t.c",7-8
Year 3,Calvary Term,4,Vocational Studies,"Education: meaning, different levels of education ( nursery, primary, secondary and tertiary)",7-8
Year 3,Calvary Term,5,Vocational Studies,"Flying objects: meaning, types/ examples",7-8
Year 3,Calvary Term,6,Vocational Studies,"Flight/partial flight/flightless birds: eagles, parrot, turkey, ducks, geese e.t.c",7-8
Year 3,Calvary Term,7,Vocational Studies,"Pottery: meaning, steps involved, people involved and things gotten",7-8
Year 3,Calvary Term,8,Vocational Studies,"Medicine: profession in Medicine, tools in medicine",7-8
Year 3,Calvary Term,9,Vocational Studies,"Building) house construction: meaning, types, materials used, stages of house construction, professional involved in house construction",7-8
Year 4,Calvary Term,1,Vocational Studies,Our world: the plants,8-9
Year 4,Calvary Term,2,Vocational Studies,"The hospital: meaning, types and functions",8-9
Year 4,Calvary Term,3,Vocational Studies,"Marine engineering: meaning, tools and careers",8-9
Year 4,Calvary Term,4,Vocational Studies,"Pipes and plumbing: meaning of pipes and plumbing, plumbing tools, who is a plumber? And what he does, materials used in making pipes",8-9
Year 4,Calvary Term,5,Vocational Studies,"Welding: meaning, things done, tools used and process followed",8-9
Year 4,Calvary Term,6,Vocational Studies,"Forest workers / lumberman : meaning, methods of lumbering, instruments used by forest workers/ lumber man",8-9
Year 4,Calvary Term,7,Vocational Studies,"Banking: meaning, tools",8-9
Year 4,Calvary Term,8,Vocational Studies,"Secretariat studies: meaning, functions",8-9
Year 4,Calvary Term,9,Vocational Studies,"Designing: meaning, types and examples",8-9
Year 5,Calvary Term,1,Vocational Studies,Architecture or architectural design: meaning and tools,9-10
Year 5,Calvary Term,2,Vocational Studies,"Automobiles and automobile engineering: automobile, vulcanized, panel beater, car aligners e.t.c",9-10
Year 5,Calvary Term,3,Vocational Studies,Shapes and pattern making,9-10
Year 5,Calvary Term,4,Vocational Studies,"Cement production: types of cement, materials required for cement production, process in cement production",9-10
Year 5,Calvary Term,5,Vocational Studies,Meteorologist: meaning and tools,9-10
Year 5,Calvary Term,6,Vocational Studies,Major occupation in different regions of Nigeria,9-10
Year 5,Calvary Term,7,Vocational Studies,"Security education: meaning, agencies and importance",9-10
Year 5,Calvary Term,8,Vocational Studies,"Workshop: meaning, tools, safety devices in work shoo",9-10
Year 5,Calvary Term,9,Vocational Studies,Teaching as a profession,9-10
Year 1,Calvary Term,1,Physical and Health Education,"P- local games: do as I do, clap over your head, who is in the garden H- personal hygiene: general body cleanliness",5-6
Year 1,Calvary Term,2,Physical and Health Education,P- basic skills in basketball H- personal hygiene -- teeth brushing,5-6
Year 1,Calvary Term,3,Physical and Health Education,P- safety rules in basketball games H- care of the nails and hair,5-6
Year 1,Calvary Term,4,Physical and Health Education,P- basic skills in swimming H-Benefits of cleanliness,5-6
Year 1,Calvary Term,5,Physical and Health Education,P- Safety rules in swimming H- Sense organs,5-6
Year 1,Calvary Term,6,Physical and Health Education,"P: basic skills in volleyball H: Fracture: Meaning, types, prevention",5-6
Year 1,Calvary Term,7,Physical and Health Education,P- Safety rules in volleyball H- balance diet,5-6
Year 1,Calvary Term,8,Physical and Health Education,"P- basic movements: moving our body parts H-Immunization: meaning, importance",5-6
Year 1,Calvary Term,9,Physical and Health Education,"P- Safety rules for basic movements H- air pollution: meaning, effects",5-6
Year 2,Calvary Term,1,Physical and Health Education,"P- movements of the body: shooting, heading, bending, stretching H- health and hygiene: meaning and method of purifying water",6-7
Year 2,Calvary Term,2,Physical and Health Education,P- movements of our body: skipping and squatting H- Health and hygiene: process of purifying water,6-7
Year 2,Calvary Term,3,Physical and Health Education,P- safety rules for basic movements H- Practical demonstration of water purification,6-7
Year 2,Calvary Term,4,Physical and Health Education,"P- football: brief history of football, basic skills, materials needed H- air pollution: meaning and causes",6-7
Year 2,Calvary Term,5,Physical and Health Education,"P- Safety rules in football H- environmental health: meaning, importance",6-7
Year 2,Calvary Term,6,Physical and Health Education,"P- Tennis: basic skills, materials needed H- safety education: meaning of safety and safety rules",6-7
Year 2,Calvary Term,7,Physical and Health Education,"P- Athletics: meaning of athletics, meaning of short distance race, benefits of running H- exercise",6-7
Year 2,Calvary Term,8,Physical and Health Education,P- Safety rules in athletics H- Rest and sleep,6-7
Year 2,Calvary Term,9,Physical and Health Education,"P- javelin H- Good body posture: meaning, examples and importance",6-7
Year 3,Calvary Term,1,Physical and Health Education,"P- Ball games: meaning, types of ball games H- personal hygiene: meaning, importance and materials",7-8
Year 3,Calvary Term,2,Physical and Health Education,"P- football: meaning, skills in football H- pathogens: meaning and types",7-8
Year 3,Calvary Term,3,Physical and Health Education,P- table tennis: meaning and skills H- eye diseases,7-8
Year 3,Calvary Term,4,Physical and Health Education,P- basketball: meaning and skills H- Ear infection,7-8
Year 3,Calvary Term,5,Physical and Health Education,P- basic swimming styles: H- physical fitness,7-8
Year 3,Calvary Term,6,Physical and Health Education,P- fundamental movements patterns H- pollution: meaning and causes,7-8
Year 3,Calvary Term,7,Physical and Health Education,P- swimming safety rules H- Noise pollution: meaning and how to prevent noise pollution,7-8
Year 3,Calvary Term,8,Physical and Health Education,"P- basic safety kits H- Waste disposal: meaning, types and importance",7-8
Year 3,Calvary Term,9,Physical and Health Education,"P- ball games: safety rules in table tennis, football and basketball H- food : meaning and importance",7-8
Year 4,Calvary Term,1,Physical and Health Education,P- locomotive movements: meaning and types H- Communicable and non Communicable diseases,8-9
Year 4,Calvary Term,2,Physical and Health Education,P- non locomotive movements: meaning and types H- preventive measures of diseases,8-9
Year 4,Calvary Term,3,Physical and Health Education,P- middle distance races H- Common health signs and symptoms,8-9
Year 4,Calvary Term,4,Physical and Health Education,"P- high jump H- drug abuse: meaning, effects of harmful food",8-9
Year 4,Calvary Term,5,Physical and Health Education,"P- long jump H- harmful foods: meaning, how to identify harmful food, danger of eating harmful food",8-9
Year 4,Calvary Term,6,Physical and Health Education,P- golf H- overfeeding: meaning and causes,8-9
Year 4,Calvary Term,7,Physical and Health Education,"P- middle distance races: meaning, types, skills H- underfeeding: meaning and causes",8-9
Year 4,Calvary Term,8,Physical and Health Education,P- long distance races: meaning and skills H- nutritional deficiency: meaning and examples,8-9
Year 4,Calvary Term,9,Physical and Health Education,P- gymnastic activities: meaning and types H- safety at home and school,8-9
Year 5,Calvary Term,1,Physical and Health Education,"P- hockey H- nutrition: meaning of nutrition, meaning of food, sources of nutrition",9-10
Year 5,Calvary Term,2,Physical and Health Education,"P- recreation: meaning, importance, components of recreational activities H- nutritional deficiency: meaning, examples, prevention",9-10
Year 5,Calvary Term,3,Physical and Health Education,"P- martial art : meaning, types and importance H- Heart diseases : meaning, examples and prevention",9-10
Year 5,Calvary Term,4,Physical and Health Education,"P- judo rules and skills H- Respiratory diseases: meaning, examples and prevention",9-10
Year 5,Calvary Term,5,Physical and Health Education,"P- introduction to direction: the significance of four cardinal point H- eye health: meaning of vision, importance of vision, care of the eyes",9-10
Year 5,Calvary Term,6,Physical and Health Education,"P- sports facilities and equipment: examples, maintenance of sports facilities and equipment H- drug abuse: meaning, consequences of drug abuse on individuals, family and society",9-10
Year 5,Calvary Term,7,Physical and Health Education,"P- track event: long distance races and relay race H- school health program: meaning, components and importance",9-10
Year 5,Calvary Term,8,Physical and Health Education,"P- long jump -- basic skills, rules and regulations H- drug education: meaning of drugs, examples, importance of drug",9-10
Year 5,Calvary Term,9,Physical and Health Education,P- shuttle relay: meaning H- the immune system: meaning and functions,9-10
Year 1,Calvary Term,1,Agricultural Science,"Plant: meaning, examples, part of a plant, drawing of a typical plant and uses of plant",5-6
Year 1,Calvary Term,2,Agricultural Science,"Requirements for plant growth: soil, water, air and sunlight",5-6
Year 1,Calvary Term,3,Agricultural Science,"Soil and its uses: meaning, uses and types",5-6
Year 1,Calvary Term,4,Agricultural Science,"Water and its uses: meaning, uses in agriculture and sources",5-6
Year 1,Calvary Term,5,Agricultural Science,"Water contamination: meaning, ways and sources",5-6
Year 1,Calvary Term,6,Agricultural Science,"Air: meaning, uses",5-6
Year 1,Calvary Term,7,Agricultural Science,"Fruit crops: meaning, examples, differences between fruits and vegetables and uses of fruit crops",5-6
Year 1,Calvary Term,8,Agricultural Science,"Farm insect: meaning, examples, uses",5-6
Year 1,Calvary Term,9,Agricultural Science,"Farm animals: Meaning, examples, uses, care of farm animals (Feeding, cleaning and housing)",5-6
Year 2,Calvary Term,1,Agricultural Science,"Classification of crops: meaning, classes",6-7
Year 2,Calvary Term,2,Agricultural Science,"Tuber crops: meaning, examples and uses",6-7
Year 2,Calvary Term,3,Agricultural Science,"Fruit crops: meaning, examples, uses",6-7
Year 2,Calvary Term,4,Agricultural Science,"Vegetable crops: meaning, examples and uses",6-7
Year 2,Calvary Term,5,Agricultural Science,"Crop propagation: meaning, materials, the place of seeding crop propagation, practical experiments of planting seed",6-7
Year 2,Calvary Term,6,Agricultural Science,"Classification of food, energy giving food and body building food: meaning, sources and functions",6-7
Year 2,Calvary Term,7,Agricultural Science,"Classification of food: vitamin, minerals, fat and oil and water: Meaning, sources and functions",6-7
Year 2,Calvary Term,8,Agricultural Science,"Farm tools and equipment: meaning, classification, examples and uses",6-7
Year 2,Calvary Term,9,Agricultural Science,Maintenance of farm tools,6-7
Year 3,Calvary Term,1,Agricultural Science,People involved in agricultural activities: roles of different people in agriculture,7-8
Year 3,Calvary Term,2,Agricultural Science,"Classification of farm animals: meaning, classes",7-8
Year 3,Calvary Term,3,Agricultural Science,Uses of farm animals,7-8
Year 3,Calvary Term,4,Agricultural Science,Aquaculture ( fish farming),7-8
Year 3,Calvary Term,5,Agricultural Science,Apiculture ( bee farming),7-8
Year 3,Calvary Term,6,Agricultural Science,"Food processing: meaning, method and importance",7-8
Year 3,Calvary Term,7,Agricultural Science,"Food preservation: meaning, method and importance",7-8
Year 3,Calvary Term,8,Agricultural Science,Weathering as a process of soil formation: meaning of weathering and types of weathering,7-8
Year 3,Calvary Term,9,Agricultural Science,"Weather and climate: meaning, types and importance to agriculture",7-8
Year 4,Calvary Term,1,Agricultural Science,"Soil: meaning, classification and importance",8-9
Year 4,Calvary Term,2,Agricultural Science,"Soil fertility: meaning, ways of maintaining soil fertility, causes of soil fertility reduction",8-9
Year 4,Calvary Term,3,Agricultural Science,"Irrigation: meaning, types and importance of farming",8-9
Year 4,Calvary Term,4,Agricultural Science,"Weed: meaning, types, importance and problems of weed to farmers, weed control measures",8-9
Year 4,Calvary Term,5,Agricultural Science,"Crop diseases: meaning, casual agents of disease in plants control measures",8-9
Year 4,Calvary Term,6,Agricultural Science,"Farm produce preservations: meaning, methods and importance",8-9
Year 4,Calvary Term,7,Agricultural Science,Safety measures in applying chemicals to farm produce,8-9
Year 4,Calvary Term,8,Agricultural Science,"Crop farm tools: meaning, description and uses",8-9
Year 4,Calvary Term,9,Agricultural Science,"Animal farm tools: meaning, description and uses",8-9
Year 5,Calvary Term,1,Agricultural Science,General requirements for livestock production,9-10
Year 5,Calvary Term,2,Agricultural Science,"Animal feed: meaning, components, types and importance",9-10
Year 5,Calvary Term,3,Agricultural Science,Common pest and diseases of crop plants,9-10
Year 5,Calvary Term,4,Agricultural Science,"Pest control: meaning of pest, meaning of pest control and method",9-10
Year 5,Calvary Term,5,Agricultural Science,Classification of crops according to their lifespan and their uses,9-10
Year 5,Calvary Term,6,Agricultural Science,General requirements for crop farming,9-10
Year 5,Calvary Term,7,Agricultural Science,"Farm equipment: meaning, classes, uses and maintenance",9-10
Year 5,Calvary Term,8,Agricultural Science,"Packaging of farm product: meaning, importance and method",9-10
Year 5,Calvary Term,9,Agricultural Science,Careers in agricultural science,9-10
Year 1,Calvary Term,1,Social Studies,"Sanitation ( meaning and method, ways to keep our environment clean, proper disposal of waste, toilet facilities",5-6
Year 1,Calvary Term,2,Social Studies,"Home sanitation ( functions of home cleaning tools e.g broom, hoe, brush, cutlass, mop, parker, rake e.t.c)",5-6
Year 1,Calvary Term,3,Social Studies,"Accident ( meaning, types, causes and prevention)",5-6
Year 1,Calvary Term,4,Social Studies,"Home accidents ( definition, causes of home accidents, prevention)",5-6
Year 1,Calvary Term,5,Social Studies,"Home appliances ( meaning, types of home appliances, uses and care)",5-6
Year 1,Calvary Term,6,Social Studies,"Drugs awareness ( meaning of drugs, categories of good and bad drugs)",5-6
Year 1,Calvary Term,7,Social Studies,"Overdose ( meaning, effects and prevention)",5-6
Year 1,Calvary Term,8,Social Studies,"Illness ( meaning, causes and prevention)",5-6
Year 1,Calvary Term,9,Social Studies,"Water ( sources of water, uses and storage)",5-6
Year 2,Calvary Term,1,Social Studies,"The community ( meaning, rules and regulations, community leaders)",6-7
Year 2,Calvary Term,2,Social Studies,"Road accident ( definition, causes and effects)",6-7
Year 2,Calvary Term,3,Social Studies,"First aid to road accident victims ( definition of first aid, first aid to road accident victims)",6-7
Year 2,Calvary Term,4,Social Studies,"Communication ( definition, ancient and modern means, importance)",6-7
Year 2,Calvary Term,5,Social Studies,Keeping our environment clean ( ways and refuse disposal),6-7
Year 2,Calvary Term,6,Social Studies,"Marriage ( definition, types)",6-7
Year 2,Calvary Term,7,Social Studies,Traditional rites performed in a traditional marriage ( items/materials used in traditional marriage religion),6-7
Year 2,Calvary Term,8,Social Studies,Court marriage/marriage ordainees,6-7
Year 2,Calvary Term,9,Social Studies,"Medicine: classification of medicine ( understanding the meaning of analgesic, antibiotics medicines, understanding OTC drugs and prescription",6-7
Year 3,Calvary Term,1,Social Studies,Concept of government ( meaning and types),7-8
Year 3,Calvary Term,2,Social Studies,"World famous leaders: meaning, what makes a leader famous, some leaders and their achievements",7-8
Year 3,Calvary Term,3,Social Studies,War and conflict ( meaning and effects),7-8
Year 3,Calvary Term,4,Social Studies,"Employment ( Definition, importance, underemployment and unemployment)",7-8
Year 3,Calvary Term,5,Social Studies,Naturalization ( meaning of naturalization),7-8
Year 3,Calvary Term,6,Social Studies,"Sanitation ( modern toilet facilities, community sanitation",7-8
Year 3,Calvary Term,7,Social Studies,"Savings ( meaning of savings, mode of saving)",7-8
Year 3,Calvary Term,8,Social Studies,"Housing ( meaning and types, the house we live in, gadget used at home)",7-8
Year 3,Calvary Term,9,Social Studies,"Seasons and weather ( meaning, types, features and differences)",7-8
Year 4,Calvary Term,1,Social Studies,"Leadership ( meaning of leadership, qualities of good leadership, importance of leadership",8-9
Year 4,Calvary Term,2,Social Studies,"Organization and cooperation ( definition of organization and cooperation, importance of organization and cooperation)",8-9
Year 4,Calvary Term,3,Social Studies,Resources development (capitals) -- meaning of capitals and concept of resources development,8-9
Year 4,Calvary Term,4,Social Studies,"Resources distribution (meaning, fair distribution of resources, concept of raw materials)",8-9
Year 4,Calvary Term,5,Social Studies,"Social injustice ( meaning, types of group that fights against social injustice of child act policy)",8-9
Year 4,Calvary Term,6,Social Studies,"Wages and income ( meaning, importance and other method of rewarding or compensating workers)",8-9
Year 4,Calvary Term,7,Social Studies,"Power( Definition of power, authority, legitimacy and influence",8-9
Year 4,Calvary Term,8,Social Studies,Human resources development,8-9
Year 4,Calvary Term,9,Social Studies,"National water supply ( concept of water supply, state national agencies in charge of water supply)",8-9
Year 5,Calvary Term,1,Social Studies,"Interpersonal relationships ( concept of healthy boy-girl relationship, ways to maintain healthy boys-girls relationship",9-10
Year 5,Calvary Term,2,Social Studies,"Pressure groups: meaning, importance of pressure group in the society",9-10
Year 5,Calvary Term,3,Social Studies,Religious differences: meaning and effects in the society,9-10
Year 5,Calvary Term,4,Social Studies,"Ethnic groups: concepts of ethnic groups, understanding the meaning of lingua franca, types of ethnic groups",9-10
Year 5,Calvary Term,5,Social Studies,"International conflicts: meaning, causes, resolutions",9-10
Year 5,Calvary Term,6,Social Studies,The united nations organization and its agencies,9-10
Year 5,Calvary Term,7,Social Studies,"Responsible parenthood ( meaning, characteristics and effects of irresponsible parenthood",9-10
Year 5,Calvary Term,8,Social Studies,International exchanges,9-10
Year 5,Calvary Term,9,Social Studies,"Natural resources: meaning, development of natural and utilization of natural resources",9-10
Year 1,Calvary Term,1,Basic Science,Harmful objects: meaning and examples,5-6
Year 1,Calvary Term,2,Basic Science,"Harmful substances: meaning, dangers of taking harmful substances into the body",5-6
Year 1,Calvary Term,3,Basic Science,Animal identification and their babies off springs,5-6
Year 1,Calvary Term,4,Basic Science,"Communication and information technology: meaning of technology, benefits and examples in relations to communication and information",5-6
Year 1,Calvary Term,5,Basic Science,States of matters,5-6
Year 1,Calvary Term,6,Basic Science,"Sorting things: into colors, into shapes, into sizes",5-6
Year 1,Calvary Term,7,Basic Science,"Road: types of road, how to walk along the road, road signs",5-6
Year 1,Calvary Term,8,Basic Science,Body movements ( moving our body parts) types of body movements,5-6
Year 1,Calvary Term,9,Basic Science,Characteristics of living things -- MR NIGER D and Non-living things,5-6
Year 2,Calvary Term,1,Basic Science,"Measurements: meaning, types and instruments used in measurements",6-7
Year 2,Calvary Term,2,Basic Science,"Measurements conversion: meter to kilometer, kilogram to gram and units of length",6-7
Year 2,Calvary Term,3,Basic Science,Plant reproduction,6-7
Year 2,Calvary Term,4,Basic Science,"Pollination: meaning, types and importance",6-7
Year 2,Calvary Term,5,Basic Science,First twenty elements,6-7
Year 2,Calvary Term,6,Basic Science,"Technology: meaning, forms and product of technology",6-7
Year 2,Calvary Term,7,Basic Science,"Conversion of energy: meaning, examples and application of technology products that uses the conversion",6-7
Year 2,Calvary Term,8,Basic Science,Animals in the school compound Animals and road safetys,6-7
Year 2,Calvary Term,9,Basic Science,"Weather: meaning, elements and instruments for measuring weather",6-7
Year 3,Calvary Term,1,Basic Science,"Water as a universal solvent: meaning of solvent, examples of solvent and water as a universal solvent",7-8
Year 3,Calvary Term,2,Basic Science,"Soluble and non-soluble substances: meaning, differences and examples",7-8
Year 3,Calvary Term,3,Basic Science,"The feeding system: set of teeth, types of teeth, functions of tongue and role of lips in the feeding system",7-8
Year 3,Calvary Term,4,Basic Science,"The digestive system: the process of food digestion, the digestive organs",7-8
Year 3,Calvary Term,5,Basic Science,"The alimentary canal: parts of the alimentary canal, diagram of the alimentary canal",7-8
Year 3,Calvary Term,6,Basic Science,Changes in non- living things: rusting,7-8
Year 3,Calvary Term,7,Basic Science,Simple circuit: meaning and uses,7-8
Year 3,Calvary Term,8,Basic Science,Sounds and noise: meaning and differences,7-8
Year 3,Calvary Term,9,Basic Science,Flower: parts and functions of part of flowers,7-8
Year 4,Calvary Term,1,Basic Science,"Feeding habits in animals: omnivores, carnivores ( scavengers and predators) and herbivores ( rodents and ruminants)",8-9
Year 4,Calvary Term,2,Basic Science,"Pollination and fertilization in flowers: types of pollination, agents of pollination, features",8-9
Year 4,Calvary Term,3,Basic Science,Fruits and seed dispersal,8-9
Year 4,Calvary Term,4,Basic Science,"Moveable and immovable joints: meaning, examples",8-9
Year 4,Calvary Term,5,Basic Science,"Muscles and tendons: meaning, functions and examples",8-9
Year 4,Calvary Term,6,Basic Science,"Ligament, cartilage and marrows: meaning, functions and examples",8-9
Year 4,Calvary Term,7,Basic Science,"Vertebrates and invertebrates animal : meaning, examples",8-9
Year 4,Calvary Term,8,Basic Science,"Wood: identification and properties of wood, uses and importance",8-9
Year 4,Calvary Term,9,Basic Science,"Plastic: identification and properties of plastic, uses and importance",8-9
Year 5,Calvary Term,1,Basic Science,"Environment-conservation: meaning, ways, afforestation, game reserve, irrigation",9-10
Year 5,Calvary Term,2,Basic Science,"Mineral resources: meaning, control, sources, locations of minerals and uses",9-10
Year 5,Calvary Term,3,Basic Science,"Raw materials and maintenance: meaning, importance and uses",9-10
