class,term,week,subject,topic,agegroup
Year 5,1st Term,3,Creative Writing,The owl and the pussy cat,9-10
Year 5,1st Term,4,Creative Writing,How to create an Email address,9-10
Year 5,1st Term,5,Creative Writing,Bell rings for end of lesson,9-10
Year 5,1st Term,6,Creative Writing,Hard work pays off,9-10
Year 5,1st Term,7,Creative Writing,How I can change the world,9-10
Year 5,1st Term,8,Creative Writing,What I want to be when I grow up ( child hood dreams and ambitions),9-10
Year 5,1st Term,9,Creative Writing,A visit to the relative house,9-10
Year 1,1st Term,1,Geography,Geography: meaning and why we study geography,5-6
Year 1,1st Term,2,Geography,"The school environment: meaning of environment and school environment, things that can be found in school environment",5-6
Year 1,1st Term,3,Geography,States in Nigeria and their capitals,5-6
Year 1,1st Term,4,Geography,The seven continents of the world,5-6
Year 1,1st Term,5,Geography,Rivers: meaning and rivers in Nigeria,5-6
Year 1,1st Term,6,Geography,Ocean: meaning and oceans in Nigeria,5-6
Year 1,1st Term,7,Geography,Desert: meaning and desert in Nigeria,5-6
Year 1,1st Term,8,Geography,Island: meaning and island in Nigeria,5-6
Year 1,1st Term,9,Geography,"Tourism: meaning, who is a tourist? Tourist sites in Nigeria",5-6
Year 2,1st Term,1,Geography,World countries and their capitals,6-7
Year 2,1st Term,2,Geography,Map: meaning and map in Nigeria,6-7
Year 2,1st Term,3,Geography,Ethnic group: landscape and locations,6-7
Year 2,1st Term,4,Geography,Ethnic group: various occupation,6-7
Year 2,1st Term,5,Geography,"Ethnic group: Dressing, food and transportation of different ethnic groups",6-7
Year 2,1st Term,6,Geography,"Natural resources in Nigeria: meaning, classification with examples",6-7
Year 2,1st Term,7,Geography,Natural resources in Nigeria: location of Nigeria map,6-7
Year 2,1st Term,8,Geography,"Rocks: meaning, types, importance, and major ricks in Nigeria",6-7
Year 2,1st Term,9,Geography,"Mountain: meaning, notable mountains in Nigeria",6-7
Year 3,1st Term,1,Geography,"Weather and climate: meaning, elements, seasons and their classification",7-8
Year 3,1st Term,2,Geography,The earth: meaning and components,7-8
Year 3,1st Term,3,Geography,"Vegetation zones in Nigeria: meaning, types, characteristics and locations",7-8
Year 3,1st Term,4,Geography,"Afforestation and Deforestation: meaning causes, advantages and disadvantages",7-8
Year 3,1st Term,5,Geography,"Flooding: meaning, causes and effects",7-8
Year 3,1st Term,6,Geography,"Plains and plateaus: meaning, formation, types and characteristics",7-8
Year 3,1st Term,7,Geography,"Hills and valleys: meaning, formation, types and characteristics",7-8
Year 3,1st Term,8,Geography,"Rainfall: meaning, formation, types and importance",7-8
Year 3,1st Term,9,Geography,Map of Nigeria,7-8
Year 4,1st Term,1,Geography,"Natural resources: meaning, sources, examples and uses",8-9
Year 4,1st Term,2,Geography,"Mineral resources in Nigeria and Africa : meaning, locations and uses",8-9
Year 4,1st Term,3,Geography,"Mining: meaning, processes involved in mining, instrument and importance",8-9
Year 4,1st Term,4,Geography,"Climatic change: meaning, causes and effects",8-9
Year 4,1st Term,5,Geography,Early explorers: Mungo park ( routes and destination),8-9
Year 4,1st Term,6,Geography,Early explorers: Vasco Da Gama ( routes and destination),8-9
Year 4,1st Term,7,Geography,Early explorers: Bartholomew Disc (routes and destination),8-9
Year 4,1st Term,8,Geography,Early explorers: The landed brothers (routes and destination),8-9
Year 4,1st Term,9,Geography,"Settlement: meaning, types, features and importance",8-9
Year 5,1st Term,1,Geography,"Town and villages: meaning, features and amenities",9-10
Year 5,1st Term,2,Geography,The local government areas in Nigeria and their headquarters,9-10
Year 5,1st Term,3,Geography,Major land forms in Nigeria,9-10
Year 5,1st Term,4,Geography,"Topography: meaning, forms, features, examples and importance",9-10
Year 5,1st Term,5,Geography,Rocks and rock formations: meaning and formation of different types of rock with examples,9-10
Year 5,1st Term,6,Geography,"Weathering: meaning, agents, and process",9-10
Year 5,1st Term,7,Geography,"Population: meaning, types and features",9-10
Year 5,1st Term,8,Geography,Nuclear and biological weapons: meaning and uses,9-10
Year 5,1st Term,9,Geography,"Ecological ecosystem: meaning, types and importance",9-10
Year 1,1st Term,1,Moral Instructions,Good manners,5-6
Year 1,1st Term,2,Moral Instructions,Obedience: meaning of obedience and importance of obedience,5-6
Year 1,1st Term,3,Moral Instructions,How to show courtesy to others,5-6
Year 1,1st Term,4,Moral Instructions,Courtesy at home,5-6
Year 1,1st Term,5,Moral Instructions,Courtesy at school,5-6
Year 1,1st Term,6,Moral Instructions,Courtesy in speaking,5-6
Year 1,1st Term,7,Moral Instructions,"Kindness: meaning, importance and ways to show kindness",5-6
Year 1,1st Term,8,Moral Instructions,Respect: meaning and importance of respect,5-6
Year 1,1st Term,9,Moral Instructions,Integrity,5-6
Year 2,1st Term,1,Moral Instructions,Leadership at school,6-7
Year 2,1st Term,2,Moral Instructions,Leadership at home,6-7
Year 2,1st Term,3,Moral Instructions,Discipline : meaning and reasons for discipline,6-7
Year 2,1st Term,4,Moral Instructions,Discipline at home and in school,6-7
Year 2,1st Term,5,Moral Instructions,Good and bad habit,6-7
Year 2,1st Term,6,Moral Instructions,Discovering your talent,6-7
Year 2,1st Term,7,Moral Instructions,Developing your talent,6-7
Year 2,1st Term,8,Moral Instructions,Honesty and telling the truth,6-7
Year 2,1st Term,9,Moral Instructions,Teachability,6-7
Year 3,1st Term,1,Moral Instructions,Forgiveness: meaning and benefit of forgiveness,7-8
Year 3,1st Term,2,Moral Instructions,Forbearance,7-8
Year 3,1st Term,3,Moral Instructions,Loyalty,7-8
Year 3,1st Term,4,Moral Instructions,"Punctuality: meaning, importance and effect of not been punctual",7-8
Year 3,1st Term,5,Moral Instructions,Diligence: attribute of a diligent person,7-8
Year 3,1st Term,6,Moral Instructions,Team work: meaning and benefit of team work,7-8
Year 3,1st Term,7,Moral Instructions,Savings,7-8
Year 3,1st Term,8,Moral Instructions,Contentment: meaning and benefit of contentment,7-8
Year 3,1st Term,9,Moral Instructions,Cleanliness,7-8
Year 4,1st Term,1,Moral Instructions,Good comportment,8-9
Year 4,1st Term,2,Moral Instructions,Humility: meaning and benefit of humility,8-9
Year 4,1st Term,3,Moral Instructions,Interpersonal relationships,8-9
Year 4,1st Term,4,Moral Instructions,Conflict resolution,8-9
Year 4,1st Term,5,Moral Instructions,Moderation: meaning and types of moderation,8-9
Year 4,1st Term,6,Moral Instructions,Time management,8-9
Year 4,1st Term,7,Moral Instructions,"Cooperation: meaning, ways and examples of cooperation",8-9
Year 4,1st Term,8,Moral Instructions,"Etiquette: meaning, types and how to practice etiquette",8-9
Year 4,1st Term,9,Moral Instructions,Self control,8-9
Year 5,1st Term,1,Moral Instructions,Sowing and reaping,9-10
Year 5,1st Term,2,Moral Instructions,Decision making,9-10
Year 5,1st Term,3,Moral Instructions,Good stewardship,9-10
Year 5,1st Term,4,Moral Instructions,Developing boldness,9-10
Year 5,1st Term,5,Moral Instructions,Reliability,9-10
Year 5,1st Term,6,Moral Instructions,Hospitality,9-10
Year 5,1st Term,7,Moral Instructions,Taking responsibility,9-10
Year 5,1st Term,8,Moral Instructions,Self discovery,9-10
Year 5,1st Term,9,Moral Instructions,Overcoming negative peer influence,9-10
Year 1,1st Term,1,Vocational Studies,Vocation: meaning and types,5-6
Year 1,1st Term,2,Vocational Studies,Vocation: tools used by different vocations and their uses,5-6
Year 1,1st Term,3,Vocational Studies,"The house: meaning, types and importance",5-6
Year 1,1st Term,4,Vocational Studies,Different rooms in the house and their functions,5-6
Year 1,1st Term,5,Vocational Studies,"Home appliances: meaning, types and uses",5-6
Year 1,1st Term,6,Vocational Studies,Farm equipment and their uses,5-6
Year 1,1st Term,7,Vocational Studies,"Sanitation: meaning, tools/materials used for sanitation and reasons for sanitation",5-6
Year 1,1st Term,8,Vocational Studies,Keeping our environment clean: meaning of environment and ways of keeping our environment clean,5-6
Year 1,1st Term,9,Vocational Studies,"Raw materials: meaning, types and uses",5-6
Year 2,1st Term,1,Vocational Studies,"Occupation: meaning, types and importance",6-7
Year 2,1st Term,2,Vocational Studies,"Professional working tools ( doctors, teacher lawyer, pilot, banker, engineer e.t.c)",6-7
Year 2,1st Term,3,Vocational Studies,"Personal health: meaning, importance, equipments use in maintaining personal health",6-7
Year 2,1st Term,4,Vocational Studies,Health agencies in Nigeria,6-7
Year 2,1st Term,5,Vocational Studies,"Transportation: meaning, means/ mode and importance",6-7
Year 2,1st Term,6,Vocational Studies,"Communication: meaning, means/mode and importance",6-7
Year 2,1st Term,7,Vocational Studies,"Print media: meaning, materials, forms and benefits",6-7
Year 2,1st Term,8,Vocational Studies,"Musical instruments: meaning, classification with examples and functions",6-7
Year 2,1st Term,9,Vocational Studies,"People that study about the earth, weather and climate (Astrologist, geologist, meteorologist)",6-7
Year 3,1st Term,1,Vocational Studies,"Carpentry: meaning of carpentry, who is a carpenter, tools used in carpentry",7-8
Year 3,1st Term,2,Vocational Studies,"Plumbing: meaning of plumbing, who is a plumber, tools used in plumbing",7-8
Year 3,1st Term,3,Vocational Studies,"Brick laying (Masonry): meaning of bricklaying/masonry, who is a brick layer/mason, tools used in brick laying/masonry",7-8
Year 3,1st Term,4,Vocational Studies,Electrician: meaning and tools,7-8
Year 3,1st Term,5,Vocational Studies,"Beauty therapy( hair care, makeup, skin care, nail care and other beauty service): meaning, who is a beautician, tools used by beautician",7-8
Year 3,1st Term,6,Vocational Studies,"Painting: meaning, who is a painter, tools used in painting",7-8
Year 3,1st Term,7,Vocational Studies,"Engineering: meaning, who is an engineer and types and tools",7-8
Year 3,1st Term,8,Vocational Studies,"Fishing: meaning, who is a fisherman, fisher woman and fish monger and fishing tools",7-8
Year 3,1st Term,9,Vocational Studies,Practical (makeup),7-8
Year 4,1st Term,1,Vocational Studies,"Home appliances: meaning, types and importance/uses",8-9
Year 4,1st Term,2,Vocational Studies,"Profession and occupation: differences, types and importance",8-9
Year 4,1st Term,3,Vocational Studies,"Automobile: meaning, types and importance",8-9
Year 4,1st Term,4,Vocational Studies,"Mineral resources: meaning, types and importance",8-9
Year 4,1st Term,5,Vocational Studies,"Clothing: meaning, clothing materials, clothes for different occasions and seasons",8-9
Year 4,1st Term,6,Vocational Studies,"Blacksmithing: meaning, tools used by blacksmith and process of production, who is a blacksmith?",8-9
Year 4,1st Term,7,Vocational Studies,Building/ house construction: materials for building,8-9
Year 4,1st Term,8,Vocational Studies,"Building) house construction: stages of house construction, profession involved in house construction",8-9
Year 4,1st Term,9,Vocational Studies,Practical: ( Tie and Dye),8-9
Year 5,1st Term,1,Vocational Studies,"Introduction to entrepreneurship: what is entrepreneurship, who is an entrepreneurship? Successful entrepreneurship and company founded, importance of entrepreneurship",9-10
Year 5,1st Term,2,Vocational Studies,"Skills acquisition: meaning, classification and types of skills, benefits of skills acquisition",9-10
Year 5,1st Term,3,Vocational Studies,Bead making,9-10
Year 5,1st Term,4,Vocational Studies,Batik/Tie and die,9-10
Year 5,1st Term,5,Vocational Studies,Baking (finger food),9-10
Year 5,1st Term,6,Vocational Studies,Communication ( modern gadget of communication),9-10
Year 5,1st Term,7,Vocational Studies,"Building/ house construction: cement -- types of cement, and uses of cement",9-10
Year 5,1st Term,8,Vocational Studies,"Forestry : meaning, forest resources, who is a lumber man?",9-10
Year 5,1st Term,9,Vocational Studies,Practical ( baking) Tie and Dye/ batik,9-10
Year 1,1st Term,1,History,Introduction to history: meaning and importance,5-6
Year 1,1st Term,2,History,Facts about history,5-6
Year 1,1st Term,3,History,Branches of History,5-6
Year 1,1st Term,4,History,Transportation in the past and now,5-6
Year 1,1st Term,5,History,Communication in the past and now,5-6
Year 1,1st Term,6,History,The tallest building in Nigeria,5-6
Year 1,1st Term,7,History,The first storey building in Nigeria,5-6
Year 1,1st Term,8,History,Food in the past and now,5-6
Year 1,1st Term,9,History,Clothing in the past and now,5-6
Year 2,1st Term,1,History,The history of Nigeria ( important dates in Nigeria),6-7
Year 2,1st Term,2,History,"The indigenous people of Nigeria ( origin of the three main ethnic group, significant features",6-7
Year 2,1st Term,3,History,The Nigeria independence,6-7
Year 2,1st Term,4,History,"States in Nigeria, capitals and when they were created",6-7
Year 2,1st Term,5,History,"Heroes of our nation : meaning of heroes, examples of Nigeria super heroes",6-7
Year 2,1st Term,6,History,Major monarch in Nigeria,6-7
Year 2,1st Term,7,History,Major beliefs and festivals in Nigeria,6-7
Year 2,1st Term,8,History,"Historical artifacts in Nigeria -- Nok culture (terracotta), igbo-ukwubronze, Benin bronze e.t.c",6-7
Year 2,1st Term,9,History,Christian missionaries in Nigeria: Meaning and goals of the missionaries,6-7
Year 3,1st Term,1,History,The history of man,7-8
Year 3,1st Term,2,History,Early history of west African states,7-8
Year 3,1st Term,3,History,Colonial era in Nigeria,7-8
Year 3,1st Term,4,History,Monarchy ( monarch's around the world),7-8
Year 3,1st Term,5,History,Queen Elizabeth ii ( the longest reigning monarch in the world),7-8
Year 3,1st Term,6,History,Alexander the great,7-8
Year 3,1st Term,7,History,Queen Amina of Zaria,7-8
Year 3,1st Term,8,History,Ben Carson,7-8
Year 3,1st Term,9,History,Abraham Lincoln,7-8
Year 4,1st Term,1,History,"British rule in Nigeria: names of colonial administrators in Nigeria, British protectorates in Nigeria, Amalgamation of the protectorates in 1914, consequences of British rule in Nigeria",8-9
Year 4,1st Term,2,History,"Nigeria: How Nigeria was named, the struggles for independence, how nationalists secure our indepsendence, independence and its challenges",8-9
Year 4,1st Term,3,History,"Nationalist and Nationalism in Nigeria: meaning of nationalist and nationalism, nationalist activities",8-9
Year 4,1st Term,4,History,"Some nationalist in Nigeria:( Herbert Macauley, Nnamdi Azikwe, Obafemi Awolowo)-Background, activities and lessons",8-9
Year 4,1st Term,5,History,"Some nationalist in Nigeria:( Sir Ahmadu Bello, Mallam Aminu Kano)-Background activities and lessons",8-9
Year 4,1st Term,6,History,History of education in Nigeria,8-9
Year 4,1st Term,7,History,Origin of banks in Nigeria,8-9
Year 4,1st Term,8,History,Discovery of crude oil in Nigeria,8-9
Year 4,1st Term,9,History,History of trade unions in Nigeria,8-9
Year 5,1st Term,1,History,"Myths: meaning, creation, myth of major tribes ( Hausa, Igbo, Yoruba)",9-10
Year 5,1st Term,2,History,Pre-colonial rule in Nigeria: meaning and periods,9-10
Year 5,1st Term,3,History,Colonial rule in Nigeria: meaning and periods,9-10
Year 5,1st Term,4,History,Civil rule in Nigeria: meaning and periods,9-10
Year 5,1st Term,5,History,"Civilian leaders in Nigeria: (Dr Nnamdi Azikwe, Sir Tafawa Balewa, Alhaji Shehu Shagari, Chief Olusegun Obasanjo )",9-10
Year 5,1st Term,6,History,"Civilian leaders in Nigeria (Mallam Umaru Musa, Yar'adua, Dr Good luck Ebele Jonathan, Muhammadu Buhari)",9-10
Year 5,1st Term,7,History,Military heads of states in Nigeria,9-10
Year 5,1st Term,8,History,Conduct of election in Nigeria,9-10
Year 5,1st Term,9,History,Nigeria civil war (1967-1970): Introduction to Nigeruan Civil war and reason for civil war,9-10
Year 1,1st Term,1,Christian Religious Knowledge,"God the creator: who is God? (John4:24) (a) The creator of all things (b) The creator of human being (c) Things God created: sun, moon, stars, planets, animals and human (d) God create human being and things to fear and respect Him, to love and respect our parents (Gen 1:26-28, Rev 4-11) (e) Why God created all things: for His glory, honour, to serve Him, worship Him and to reproduce",5-6
Year 1,1st Term,2,Christian Religious Knowledge,"Things that were created by man: (a) Golden image, toys, cars, table etc. (b) Car, airplane, phone, etc",5-6
Year 1,1st Term,3,Christian Religious Knowledge,"God's Goodness: (a) The provider of all things [ Gen 9:1-8, 1:4-30] (b) The helper [1 king 17:1-7, Num 11:31, Gen 2:7] (c) The giver of family [ Gen 1: 26-28, 7:18-25]",5-6
Year 1,1st Term,4,Christian Religious Knowledge,"Using God's gift of sight and hearing [ 1 Sam 3:4-10, Mark 10:46-52, Luke 18:35-40]",5-6
Year 1,1st Term,5,Christian Religious Knowledge,Holy spirit: (a) All powerful ( John 4: 26) (b) Knowing about holy spirit (Holy spirit),5-6
Year 1,1st Term,6,Christian Religious Knowledge,"Ways of protection: By God, our parents and government. (a) By praying and studying the word of God (b) Memorize the word of God (c) The blood of Jesus",5-6
Year 1,1st Term,7,Christian Religious Knowledge,The birth of Jesus : (a) The forecast of Jesus' birth (b) The father of Jesus (c) The Angel appearing to Mary ( Luke 1:26-28),5-6
Year 1,1st Term,8,Christian Religious Knowledge,"The birth of Jesus: (a) How Jesus was born (b) Where Jesus was born ( John 3:16) (c) Why Jesus was born; ways in which God protected Jesus ( Luke 2:1-7, Matthew 2:1-6)",5-6
Year 1,1st Term,9,Christian Religious Knowledge,The significance of Christmas: (a) His purpose of coming (b) The remembrance of Jesus birth,5-6
Year 2,1st Term,1,Christian Religious Knowledge,"Meaning and types of prayers (Gen 18:20-23; Acts 4:23; 1 Sam 1:9-18, Matt7:7), Reasons for prayer and Right attitude for prayer",6-7
Year 2,1st Term,2,Christian Religious Knowledge,When to pray: Jesus the man of prayer( Luke 6:12-16; John 14:41-43; Mark 14:22-23) (when we ought to pray),6-7
Year 2,1st Term,3,Christian Religious Knowledge,"Talking to God through Jesus Christ ( Matthew 7:7-11; Luke 18 :9-14) : How to pray, Jesus teaches how to pray, pray without ceasing (1Thes 5:17), pray in faith (Matt 6: 9-15)",6-7
Year 2,1st Term,4,Christian Religious Knowledge,God cares for us ( Psalm 23; Daniel 3:1-30; Daniel 6:1-28),6-7
Year 2,1st Term,5,Christian Religious Knowledge,God announces the coming if the savior ( Luke 1:26-38; Matthew 1:18-25; Isaiah 7:14),6-7
Year 2,1st Term,6,Christian Religious Knowledge,"God gives the world a savior ( Luke 2:1-7, Luke 2:8-26; Matthew 2:11-12)",6-7
Year 2,1st Term,7,Christian Religious Knowledge,"The coming of the Holy spirit ( Act 2:1-14, Mark 16:17 ) (The comforter)",6-7
Year 2,1st Term,8,Christian Religious Knowledge,The work of the Holy spirit -- To comfort us ( John14:12) To lead us into all truths and teach us all things ( John 16:12-14),6-7
Year 2,1st Term,9,Christian Religious Knowledge,"The second coming of Jesus, preparation for the second coming.( Act 1:11; 1 Corinthians 15 :23, Mark 13:24 -37; Matthew 25:1-13)",6-7
Year 3,1st Term,1,Christian Religious Knowledge,God calls us for a purpose -- The story of the call of Abraham (Gen12:1-3;4-9),7-8
Year 3,1st Term,2,Christian Religious Knowledge,"God calls us for a purpose -- Benefits of obedience to God's call ( Luke 5:1-11, Gen 12:10-20)",7-8
Year 3,1st Term,3,Christian Religious Knowledge,"God's promise: (a) God fulfil His promises to Abraham (Gen 12:1-9;28:10-15) (b) God fulfil His promises of the savior Emmanuel ( Matthew 1:23), Meaning of Emmanuel",7-8
Year 3,1st Term,4,Christian Religious Knowledge,"The promise of a saviour, Isaiah prophesy about Jesus, Types of saviour the Jews were expecting, Types of saviour Jesus is: Suffering Messiah",7-8
Year 3,1st Term,5,Christian Religious Knowledge,"Deliverance from Egypt: (a)Crossing the Red sea ( Exodus 1:8-22; 4:1-7; 14:23-28) (b)The Passover (Ex 12:1-50) (c) Entering into the promise land ( Joshua 3:1-17; 4:1-24) (d) Moses and the bronze serpent in the wilderness (Num 21:4-9, John 3:14-16)",7-8
